#ppt,,,,,,,,,,,,,,,,,,,,,,,,
,LOSA,SALO,SAND,LOAM,G_SALO,F_SALO,SNCL,CLLO,LOSA,SALO,SAND,LOAM,G_SALO,F_SALO,SNCL,CLLO,LOSA,SALO,SAND,LOAM,G_SALO,F_SALO,SNCL,CLLO
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d)
2015-03-02T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-03T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-04T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-05T00:00:00Z,17.473303,17.473303,17.473303,17.473303,17.473303,17.473303,17.473303,17.473303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-06T00:00:00Z,5.599376,5.599376,5.599376,5.599376,5.599376,5.599376,5.599376,5.599376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-08T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-09T00:00:00Z,0.4389469,0.4389469,0.4389469,0.4389469,0.4389469,0.4389469,0.4389469,0.4389469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-10T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-11T00:00:00Z,0.8950393,0.8950393,0.8950393,0.8950393,0.8950393,0.8950393,0.8950393,0.8950393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-12T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-13T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-14T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-15T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-16T00:00:00Z,1.462399,1.462399,1.462399,1.462399,1.462399,1.462399,1.462399,1.462399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-17T00:00:00Z,9.417364,9.417364,9.417364,9.417364,9.417364,9.417364,9.417364,9.417364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-18T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-19T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-20T00:00:00Z,0.8320422,0.8320422,0.8320422,0.8320422,0.8320422,0.8320422,0.8320422,0.8320422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-21T00:00:00Z,3.293863,3.293863,3.293863,3.293863,3.293863,3.293863,3.293863,3.293863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-22T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-23T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-24T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-25T00:00:00Z,8.8899765,8.8899765,8.8899765,8.8899765,8.8899765,8.8899765,8.8899765,8.8899765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-26T00:00:00Z,10.085493,10.085493,10.085493,10.085493,10.085493,10.085493,10.085493,10.085493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-27T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-28T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-29T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-30T00:00:00Z,7.0855827,7.0855827,7.0855827,7.0855827,7.0855827,7.0855827,7.0855827,7.0855827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-31T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
