Year	Month	Tmax	Tmin	PAR	Prec	CO2	O3
1991	5	36.0099	9.54525	496.1	71.39161509	390	0
1991	6	34.82534	9.10974	531.8	95.77862894	390	0
1991	7	36.04894	17.21258	531.2	226.4492772	390	0
1991	8	35.28762	16.409	445.4	137.0961422	390	0
1991	9	34.57476	5.96008	378.1	78.85008321	390	0
1991	10	29.22793	-0.27738	309.5	32.44353883	390	0
1991	11	25.99438	-7.22513	215.5	47.5507794	390	0
1991	12	25.77844	-10.10413	173.8	69.01521095	390	0
1992	1	19.41387	-8.14146	188.4	70.49145043	390	0
1992	2	23.662	-5.62787	247.6	60.64108555	390	0
1992	3	25.49297	-4.85566	354.9	76.12223743	390	0
1992	4	30.23586	-3.38843	461.6	76.60996587	390	0
1992	5	31.5691	5.25814	496.1	92.38554923	390	0
1992	6	33.13333	11.25787	531.8	174.869421	390	0
1992	7	37.753	19.18386	531.2	43.89599941	390	0
1992	8	34.2436	14.14672	445.4	179.615873	390	0
1992	9	31.3799	4.92614	378.1	40.23449664	390	0
1992	10	27.6425	-2.9181	309.5	88.87211877	390	0
1992	11	23.67764	-4.72758	215.5	176.9784971	390	0
1992	12	21.51632	-6.14692	173.8	64.32902155	390	0
1993	1	21.6297	-4.86176	188.4	148.2891498	390	0
1993	2	21.73852	-7.37974	247.6	53.64873815	390	0
1993	3	23.7956	-8.0514	354.9	149.2403357	390	0
1993	4	28.9071	0.83474	461.6	120.5793246	390	0
1993	5	32.02416	9.78127	496.1	45.59138011	390	0
1993	6	36.8003	11.7562	531.8	56.38223307	390	0
1993	7	38.2972	15.4297	531.2	119.3458814	390	0
1993	8	35.49883	16.6116	445.4	79.84283838	390	0
1993	9	35.80526	4.50646	378.1	102.3130841	390	0
1993	10	29.1774	1.74078	309.5	106.9579031	390	0
1993	11	28.21508	-4.51758	215.5	57.26702675	390	0
1993	12	19.5558	-6.88624	173.8	76.6711006	390	0
1994	1	19.2956	-14.93708	188.4	111.0137172	390	0
1994	2	22.5743	-5.8514	247.6	82.30264647	390	0
1994	3	28.84887	-1.43104	354.9	130.3118564	390	0
1994	4	32.565	2.45236	461.6	35.94336782	390	0
1994	5	33.52517	6.96887	496.1	61.35800449	390	0
1994	6	35.15	12.6708	531.8	156.5774943	390	0
1994	7	34.89047	19.79995	531.2	178.2079549	390	0
1994	8	33.09664	12.90136	445.4	142.7859905	390	0
1994	9	31.3645	9.95294	378.1	110.2294637	390	0
1994	10	28.3999	0.15872	309.5	88.68939767	390	0
1994	11	27.1366	-3.61292	215.5	63.82686475	390	0
1994	12	23.34207	-3.4151	173.8	55.17596171	390	0
1995	1	21.65093	-8.9722	188.4	138.4789645	390	0
1995	2	22.63052	-9.85947	247.6	138.2710894	390	0
1995	3	26.8464	-3.50583	354.9	104.309437	390	0
1995	4	31.931	2.85375	461.6	23.12239538	390	0
1995	5	33.6749	7.25268	496.1	80.69630809	390	0
1995	6	34.57662	12.38818	531.8	299.5631456	390	0
1995	7	35.44448	19.30764	531.2	142.5623022	390	0
1995	8	37.73806	16.85342	445.4	107.3900542	390	0
1995	9	31.71606	5.60436	378.1	65.83524447	390	0
1995	10	30.51806	2.63687	309.5	187.6035	390	0
1995	11	26.25582	-2.91215	215.5	96.70944738	390	0
1995	12	21.72457	-6.62717	173.8	39.02299816	390	0
1996	1	19.65276	-7.58222	188.4	89.16338643	390	0
1996	2	26.52087	-15.85087	247.6	58.8677035	390	0
1996	3	23.4219	-7.4677	354.9	109.6282628	390	0
1996	4	31.3261	-0.24048	461.6	93.19708932	390	0
1996	5	34.81725	5.92822	496.1	76.29016373	390	0
1996	6	38.1252	9.40945	531.8	64.82723866	390	0
1996	7	35.47872	13.74032	531.2	183.5291713	390	0
1996	8	32.59136	16.2269	445.4	130.6262916	390	0
1996	9	31.5448	11.37792	378.1	264.5925111	390	0
1996	10	29.61068	1.6353	309.5	120.5041927	390	0
1996	11	25.9144	-3.8666	215.5	81.20629652	390	0
1996	12	23.66662	-6.97175	173.8	75.3014282	390	0
1997	1	23.4577	-10.4217	188.4	90.56713835	390	0
1997	2	25.76342	-6.42167	247.6	87.04577514	390	0
1997	3	28.5456	-1.4812	354.9	91.44308624	390	0
1997	4	27.246	-0.54374	461.6	106.2487345	390	0
1997	5	32.75387	4.28796	496.1	44.25640472	390	0
1997	6	34.87936	9.19464	531.8	69.37784787	390	0
1997	7	37.2459	13.02514	531.2	179.2921734	390	0
1997	8	35.92318	13.41842	445.4	31.38289962	390	0
1997	9	34.0814	9.1451	378.1	105.0460009	390	0
1997	10	30.86584	0.4706	309.5	83.97214848	390	0
1997	11	23.04348	-4.41367	215.5	103.8529405	390	0
