Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_LobPine,CohortsHarvested_LongleafPine,CohortsHarvested_ShortPine,CohortsHarvested_SlashPine,CohortsHarvested_WhiteOak,CohortsHarvested_TurkeyOak,CohortsHarvested_SweetGum,CohortsHarvested_RedMaple,CohortsHarvested_TulipTree,BiomassHarvestedMg_LobPine,BiomassHarvestedMg_LongleafPine,BiomassHarvestedMg_ShortPine,BiomassHarvestedMg_SlashPine,BiomassHarvestedMg_WhiteOak,BiomassHarvestedMg_TurkeyOak,BiomassHarvestedMg_SweetGum,BiomassHarvestedMg_RedMaple,BiomassHarvestedMg_TulipTree,
2, 1, Thinnning_Pines, 930, 57, 91, 901, 56, 56, 1099.12, 19.63, 381, 9, 65, 316, 0, 0, 0, 9, 0, 0, 0, 116.21, 969.35, 0, 0, 0, 6.78, 0, 0, 0, 
2, 1, Thinnning_Pines, 294, 62, 99, 892, 90, 90, 1811.51, 20.13, 497, 16, 78, 419, 1, 0, 1, 9, 3, 2, 0, 90.04, 1699.09, 0.41, 0, 0.57, 6.68, 2.11, 1.42, 0, 
2, 1, Thinnning_Pines, 255, 58, 96, 900, 74, 73, 1497.65, 20.52, 459, 18, 64, 395, 0, 0, 0, 18, 0, 0, 0, 62.34, 1409.39, 0, 0, 0, 12.96, 0, 0, 0, 
2, 1, Thinnning_Pines, 967, 51, 95, 942, 51, 49, 974.49, 19.89, 314, 20, 46, 268, 0, 0, 0, 20, 0, 0, 0, 40.86, 904.25, 0, 0, 0, 14.69, 0, 0, 0, 
2, 1, Thinnning_Pines, 839, 41, 92, 1030, 21, 19, 484.61, 25.51, 116, 0, 9, 107, 0, 0, 0, 0, 0, 0, 0, 9.52, 475.09, 0, 0, 0, 0, 0, 0, 0, 
2, 1, Thinnning_Pines, 283, 55, 89, 916, 39, 38, 857.09, 22.56, 250, 2, 28, 222, 0, 0, 0, 2, 0, 0, 0, 49.66, 804.51, 0, 0, 0, 1.46, 0, 0, 0, 
2, 1, Thinnning_Pines, 284, 49, 93, 944, 41, 39, 459.61, 11.78, 207, 0, 17, 190, 0, 0, 0, 0, 0, 0, 0, 57.66, 401.95, 0, 0, 0, 0, 0, 0, 0, 
2, 1, Thinnning_Pines, 1024, 61, 94, 893, 41, 40, 641.2, 16.03, 240, 3, 19, 221, 0, 0, 0, 1, 2, 0, 0, 40.01, 596.71, 0, 0, 0, 0.76, 1.48, 0, 0, 
2, 1, Thinnning_Pines, 506, 48, 97, 994, 47, 42, 592.97, 14.12, 263, 2, 46, 217, 0, 0, 0, 0, 0, 1, 1, 59.02, 530.87, 0, 0, 0, 0, 0, 0.76, 0.78, 
2, 1, Thinnning_Pines, 505, 36, 96, 1226, 33, 27, 505.77, 18.73, 189, 0, 6, 183, 0, 0, 0, 0, 0, 0, 0, 10.74, 495.03, 0, 0, 0, 0, 0, 0, 0, 
